slug_url,title,built_year,is_featured,is_premium,floors,bedroom,bathroom,is_price_on_call,price_type,road_access,property_face,state,district,city,area,area_sq_ft,amount
house-on-sale-in-srijana-chowk-chandragiri-NH11282,"House on sale in Srijana Chowk, Chandragiri",,False,False,2.5,,,False,Total Amount,10.0,East,Bagmati State,Kathmandu,Chandragiri  Municipality,Srijana Chowk,1369.0,16000000.0
house-on-sale-in-jarankhu-tarkeshwor-NH11265,"House on sale in Jarankhu, Tarkeshwor",,False,False,2.5,,,False,Total Amount,10.0,,Bagmati State,Kathmandu,Tarkeshwor  Municipality,Jarankhu,855.62,14500000.0
house-on-sale-in-bode-bhaktapur-NH11264,"House on sale in Bode, Bhaktapur",,False,False,2.5,,,False,Total Amount,26.0,West,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Bode,1369.0,18000000.0
brand-new-house-on-sale-in-sano-thimi-bhaktapur-NH11262,"Brand new house on sale in Sano Thimi, Bhaktapur",,False,False,,,,False,Total Amount,20.0,,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Sano thimi,2053.5,25500000.0
house-on-urgent-sale-in-kapan-NH11260,House on urgent sale in Kapan,,False,False,3.5,,,False,Total Amount,20.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Kapan,1540.12,37500000.0
house-on-sale-at-dadhikot-bhaktapur-NH11259,"House on sale at Dadhikot, Bhaktapur",,False,False,3.5,12.0,4.0,False,Total Amount,20.0,South-East,Bagmati State,Bhaktapur,Changunarayan Municipality,Dadhikot,1369.0,22500000.0
house-for-sale-at-budhanilkantha-NH11256,House for sale at Budhanilkantha,,False,False,2.5,6.0,3.0,True,Total Amount,12.0,South,Bagmati State,Kathmandu,Budhanilkantha Municipality,Italitar,1540.12,
house-for-sale-at-bhangal-NH11254,House for sale at Bhangal,,False,False,2.5,,,False,Total Amount,,West,Bagmati State,Kathmandu,Budhanilkantha Municipality,Bhangal ,1026.75,19000000.0
house-on-sale-at-chunikhel-NH11253,House on sale at Chunikhel,,False,False,1.0,,,False,Total Amount,13.0,East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Chunikhel,1197.875,13000000.0
house-for-sale-at-akashedhara-NH11250,House for sale at Akashedhara,,False,False,2.5,5.0,4.0,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Kapan,1625.68,20000000.0
house-for-sale-at-gongabu-NH11248,House for sale at Gongabu,,False,False,2.5,,,False,Total Amount,12.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Gongabu,1026.75,18500000.0
house-on-sale-at-kapan-NH11247,House on sale at Kapan,,False,False,2.0,2.0,,False,Total Amount,6.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Kapan,1026.75,12500000.0
house-for-sale-at-kapan-bhangal-NH11245,"House for sale at Kapan, Bhangal",,False,False,2.0,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Bhangal ,1411.78,18000000.0
apartment-on-sale-in-baluwatar-kathmandu-NH11243,"Apartment on sale in Baluwatar, Kathmandu",,False,False,,3.0,3.0,False,Total Amount,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,,28000000.0
house-for-sale-in-chandol-kathmandu-NH11238,"House for sale in Chandol, Kathmandu",,False,False,,4.0,4.0,False,Total Amount,15.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Chandol,1711.25,34000000.0
bungalow-for-sale-at-chandol-NH11237,Bungalow for sale at Chandol,,False,False,2.5,,,False,Total Amount,13.0,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Chandol,2310.18,46000000.0
